drugbank-id,organism
DB08616,Humans and other mammals
APRD00496,Humans and other mammals
APRD00243,Enteric bacteria and other eubacteria
APRD00432,Humans and other mammals
APRD00832,Humans and other mammals
APRD00275,Humans and other mammals
APRD00072,Humans and other mammals
APRD00877,Humans and other mammals
APRD01267,Humans and other mammals
APRD01023,Humans and other mammals
APRD00122,Humans and other mammals
APRD01152,Humans and other mammals
APRD00039,Humans and other mammals
APRD01132,Humans and other mammals
APRD00278,Mycobacterium leprae
APRD00982,Humans and other mammals
APRD00896,Humans and other mammals
APRD01067,Humans and other mammals
APRD00047,Humans and other mammals
APRD00429,Humans and other mammals
APRD00331,Humans and other mammals
APRD00634,Humans and other mammals
APRD00557,Humans and other mammals
APRD00764,Humans and other mammals
DB05277,Humans and other mammals
APRD00867,Humans and other mammals
APRD00508,Fungi
APRD00938,Humans and other mammals
APRD01171,Humans and other mammals
APRD00197,Humans and other mammals
DB06895,Humans and other mammals
APRD00699,Humans and other mammals
APRD00254,Humans and other mammals
EXPT01437,Humans and other mammals
APRD00759,Humans and other mammals
APRD00736,Humans and other mammals
APRD00541,Humans and other mammals
APRD00629,Humans and other mammals
DB04507,Humans and other mammals
APRD00230,Humans and other mammals
APRD00589,Humans and other mammals
APRD01302,Humans and other mammals
APRD01078,Humans and other mammals
APRD01005,Humans and other mammals
APRD00388,Humans and other mammals
APRD00950,Humans and other mammals
DB02439,Humans and other mammals
APRD00545,Bacteria
APRD00226,Human Immunodeficiency Virus
APRD00721,Humans and other mammals
APRD00523,Humans and other mammals
APRD00880,Humans and other mammals
APRD00455,Humans and other mammals
DB02782,Humans and other mammals
APRD00394,Humans and other mammals
APRD00443,Humans and other mammals
APRD00294,Humans and other mammals
APRD00249,Humans and other mammals
APRD01002,Humans and other mammals
APRD00917,Humans and other mammals
APRD00491,Humans and other mammals
APRD00817,Humans and other mammals
APRD01053,Humans and other mammals
APRD00640,Humans and other mammals
APRD00822,Humans and other mammals
APRD01220,Humans and other mammals
APRD00313,Humans and other mammals
APRD00738,Humans and other mammals
APRD01216,Humans and other mammals
DB02392,Human Immunodeficiency Virus
APRD00827,Humans and other mammals
APRD00713,Humans and other mammals
APRD00251,Humans and other mammals
